epoch,time,accuracy
0,0.33299779891967773,0.20394088327884674
1,0.3501577377319336,0.3364531993865967
2,0.36629819869995117,0.4167487621307373
3,0.38320326805114746,0.5408867001533508
4,0.39948058128356934,0.6113300323486328
5,0.41443920135498047,0.665517270565033
6,0.429455041885376,0.7088670134544373
7,0.44534802436828613,0.7591133117675781
8,0.461625337600708,0.7763546705245972
9,0.47849225997924805,0.7980295419692993
10,0.49434828758239746,0.8113300204277039
11,0.5093417167663574,0.8221675157546997
12,0.525127649307251,0.856157660484314
13,0.5404834747314453,0.8665024638175964
14,0.5568819046020508,0.8738916516304016
15,0.5750420093536377,0.879802942276001
16,0.5904457569122314,0.8847290873527527
17,0.605778694152832,0.889162540435791
18,0.6216702461242676,0.8926108479499817
19,0.6390683650970459,0.8935960531234741
20,0.6554441452026367,0.898522138595581
21,0.6712617874145508,0.9044334888458252
22,0.6876239776611328,0.8970443606376648
23,0.7023470401763916,0.9123152494430542
24,0.7185275554656982,0.9133005142211914
25,0.7349832057952881,0.9128078818321228
26,0.7509586811065674,0.9162561297416687
27,0.7672395706176758,0.9261083602905273
28,0.7825756072998047,0.9236453175544739
29,0.797492265701294,0.9177339673042297
30,0.8122830390930176,0.9197044372558594
31,0.8292748928070068,0.9300492405891418
32,0.8449883460998535,0.9325123429298401
33,0.860626220703125,0.9285714030265808
34,0.8766241073608398,0.9354679584503174
35,0.8914778232574463,0.9275861978530884
36,0.9075112342834473,0.9369457960128784
37,0.9232339859008789,0.9408866763114929
38,0.9396915435791016,0.934482753276825
39,0.9555072784423828,0.9413793087005615
40,0.9715256690979004,0.9369457960128784
41,0.9864528179168701,0.9325123429298401
42,1.0024073123931885,0.9408866763114929
43,1.0180816650390625,0.9384236335754395
44,1.0342669486999512,0.9472906589508057
45,1.050415277481079,0.9349753856658936
46,1.0657522678375244,0.9403941035270691
47,1.08502197265625,0.9433497786521912
48,1.1060032844543457,0.9433497786521912
49,1.1218647956848145,0.9433497786521912
50,1.1385953426361084,0.9482758641242981
51,1.1534147262573242,0.9394088387489319
52,1.168459177017212,0.951724112033844
53,1.1841704845428467,0.9527093768119812
54,1.200362205505371,0.9477832317352295
55,1.2170372009277344,0.9536945819854736
56,1.2313978672027588,0.9591132998466492
57,1.2474913597106934,0.951724112033844
58,1.2636096477508545,0.9527093768119812
59,1.2812526226043701,0.9472906589508057
60,1.2977890968322754,0.9551724195480347
61,1.3130738735198975,0.9541872143745422
62,1.3293919563293457,0.9546797871589661
63,1.34501314163208,0.9561576247215271
64,1.3604228496551514,0.9566502571105957
65,1.3775174617767334,0.9566502571105957
66,1.3931505680084229,0.9581280946731567
67,1.4089784622192383,0.9566502571105957
68,1.4243085384368896,0.9541872143745422
69,1.4396677017211914,0.9620689749717712
70,1.4551877975463867,0.9650246500968933
71,1.4720063209533691,0.9556650519371033
72,1.488532543182373,0.9527093768119812
73,1.503553867340088,0.9640393853187561
74,1.5189299583435059,0.9571428298950195
75,1.5333876609802246,0.9620689749717712
76,1.5486023426055908,0.9620689749717712
77,1.5646748542785645,0.9610837697982788
78,1.5816981792449951,0.9610837697982788
79,1.5978972911834717,0.9620689749717712
80,1.6129214763641357,0.9561576247215271
81,1.6278116703033447,0.9640393853187561
82,1.6431384086608887,0.9625615477561951
83,1.658414602279663,0.9561576247215271
84,1.6743197441101074,0.9635468125343323
85,1.6905369758605957,0.9625615477561951
86,1.7056500911712646,0.9610837697982788
87,1.7214372158050537,0.9630541801452637
88,1.7372581958770752,0.9605911374092102
89,1.7524950504302979,0.9669950604438782
90,1.7695865631103516,0.9669950604438782
91,1.7849187850952148,0.9610837697982788
92,1.7996973991394043,0.9665024876594543
93,1.815481424331665,0.9645320177078247
94,1.8305866718292236,0.9665024876594543
95,1.8468339443206787,0.9650246500968933
96,1.8621776103973389,0.9660098552703857
97,1.8778483867645264,0.9689655303955078
98,1.8926827907562256,0.9669950604438782
99,1.908214807510376,0.9635468125343323
