epoch,time,accuracy
0,1.8354499340057373,0.019601959735155106
1,10.046693325042725,0.06370636820793152
2,18.28739619255066,0.033403340727090836
3,26.460954189300537,0.05470547080039978
4,34.629915952682495,0.14011400938034058
5,42.99043917655945,0.20822082459926605
6,51.50557351112366,0.25242525339126587
7,59.848265409469604,0.3210321068763733
8,68.19805884361267,0.4398439824581146
9,76.61518955230713,0.4711471199989319
10,84.83276891708374,0.48284828662872314
11,93.26802468299866,0.5166516900062561
12,101.6652729511261,0.5360535979270935
13,110.01893615722656,0.5559555888175964
14,118.31865358352661,0.5675567388534546
15,126.7646586894989,0.5942594408988953
16,134.95996022224426,0.6113611459732056
17,143.2422969341278,0.6170617341995239
18,151.62988805770874,0.6424642205238342
19,159.93134427070618,0.6613661646842957
20,168.1333999633789,0.6863686442375183
21,176.4257652759552,0.6775677800178528
22,184.78478479385376,0.6976697444915771
23,193.07351922988892,0.7134713530540466
24,201.3219699859619,0.7451745271682739
25,209.7806589603424,0.792779266834259
26,218.0801420211792,0.8024802207946777
27,226.4075222015381,0.7856785655021667
28,234.92733430862427,0.7789778709411621
29,243.28248929977417,0.8029803037643433
30,251.69872307777405,0.7947794795036316
31,260.1476993560791,0.8209820985794067
32,268.47011375427246,0.8299829959869385
33,276.60587787628174,0.8371837139129639
34,284.9980354309082,0.8305830359458923
35,293.1286985874176,0.845784604549408
36,301.49038577079773,0.8484848737716675
37,309.735239982605,0.856585681438446
38,318.1571419239044,0.8558855652809143
39,326.34900999069214,0.8545854687690735
40,334.64703345298767,0.8627862930297852
41,343.9834854602814,0.8582858443260193
42,353.2878608703613,0.8737874031066895
43,362.57740116119385,0.8682868480682373
44,371.4944407939911,0.8754875659942627
45,380.2715735435486,0.8697869777679443
46,389.04132628440857,0.856585681438446
47,397.59825706481934,0.8082808256149292
48,406.6715621948242,0.7601760029792786
49,415.34546422958374,0.7290729284286499
50,423.58817505836487,0.7733773589134216
51,432.3995506763458,0.7956795692443848
52,441.06117844581604,0.7989798784255981
53,449.8786370754242,0.8348835110664368
54,458.4749655723572,0.8440843820571899
55,466.7908687591553,0.8464846611022949
56,475.5655026435852,0.8604860305786133
57,484.01935267448425,0.8636863827705383
58,492.5781111717224,0.8577857613563538
59,500.9050223827362,0.861186146736145
60,509.27726674079895,0.8742874264717102
61,518.1544535160065,0.8737874031066895
62,526.8166313171387,0.8806880712509155
63,535.478848695755,0.8765876293182373
64,543.630362033844,0.8829882740974426
65,552.5109102725983,0.8781878352165222
66,561.4666295051575,0.8866886496543884
67,569.9190406799316,0.8902890086174011
68,579.5544021129608,0.888688862323761
69,588.9630720615387,0.886488676071167
70,597.614218711853,0.8829882740974426
71,606.9273719787598,0.8870887160301208
72,615.8101975917816,0.8799880146980286
73,624.2989523410797,0.8878887891769409
74,632.6941666603088,0.8768876791000366
75,641.2900717258453,0.884788453578949
76,649.9456253051758,0.8832883238792419
77,658.6764092445374,0.8863886594772339
78,667.041640996933,0.8798879981040955
79,675.5714530944824,0.874787449836731
80,683.8401212692261,0.8843884468078613
81,692.7098824977875,0.8835883736610413
82,701.6824750900269,0.89328932762146
83,710.4340398311615,0.8683868646621704
84,718.7784693241119,0.8620862364768982
85,727.2564992904663,0.848784863948822
86,735.9789638519287,0.8729872703552246
87,744.7081549167633,0.8731873035430908
88,753.823837518692,0.8738873600959778
89,762.6381783485413,0.8767876625061035
90,771.5554351806641,0.8835883736610413
91,779.8300504684448,0.8945894837379456
92,788.2813839912415,0.8832883238792419
93,796.6465013027191,0.8874887228012085
94,805.1717984676361,0.884088397026062
95,813.7098908424377,0.8905890583992004
96,821.9369118213654,0.8884888291358948
97,830.6707651615143,0.8920891880989075
98,838.8942878246307,0.8958895802497864
99,847.2984600067139,0.8775877356529236
